@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid
270325,Southeast Raleigh,neighborhood,37183,3,3,Raleigh,1618,4/2/2019,19000,35.725393,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Southeast-Raleigh/r_270325/', 'forSaleByOwner': 'http://www.zillow.com/southeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/southeast-raleigh-raleigh-nc/'}",-78.534766,8276,NC,3915 Alder Grove Ln,28000,2018,,SingleFamily,2019,,"149,300",27610,79886745
54047,Raleigh,city,37183,3,4,Raleigh,2537,,,35.87208,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.527487,6534,NC,3207 Britmass Dr,40000,2018,,SingleFamily,2019,,"221,100",27616,215491685
343869,Northeast Raleigh,neighborhood,37183,3,4,Raleigh,1773,12/1/1989,102500,35.807071,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.580896,8276,NC,2004 Carthage Cir,159269,2018,7,SingleFamily,1989,224901,"171,900",27604,6504197
54047,Raleigh,city,37183,4,3,Raleigh,4617,5/16/2003,575000,35.919808,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.656643,223027,NC,9924 Waterview Rd,618168,2018,12,SingleFamily,1994,869696,"221,100",27615,6483992
270318,North Raleigh,neighborhood,37183,3,4,Raleigh,3066,5/27/2004,364000,35.927906,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.573316,6534,NC,2047 Hornbeck Ct,435002,2018,14,SingleFamily,2003,469902,"270,100",27614,65332699
343864,West Raleigh,neighborhood,37183,3,4,Raleigh,2979,7/31/2007,381500,35.782637,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/West-Raleigh/r_343864/', 'forSaleByOwner': 'http://www.zillow.com/west-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/west-raleigh-raleigh-nc/'}",-78.710919,29185,NC,4404 Driftwood Dr,343669,2018,8,SingleFamily,1974,442602,"173,400",27606,6382773
270318,North Raleigh,neighborhood,37183,4,4,Raleigh,4977,7/8/2014,665000,35.895335,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.628509,27878,NC,421 Chatterson Dr,673517,2018,8,SingleFamily,1997,760869,"270,100",27615,6551268
270318,North Raleigh,neighborhood,,,3,Raleigh,1700,,,35.922899,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.567458,,NC,2224 Valley Edge Dr,,,,SingleFamily,2009,190001,"270,100",27614,2108925721
54047,Raleigh,city,37183,3,4,Raleigh,3342,5/8/2019,495190,35.916364,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.751927,6534,NC,8804 Moss Glen Dr,,2018,,SingleFamily,,629767,"221,100",27617,248755442
54047,Raleigh,city,37183,3,3,Raleigh,4377,3/10/1997,296500,35.709951,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.756512,146797,NC,2429 Kirks Ridge Dr,1190070,2018,7,SingleFamily,1989,1146960,"221,100",27606,50100483
