,@id,@name,@type,FIPScounty,bathrooms,bedrooms,city,finishedSqFt,lastSoldDate,lastSoldPrice,latitude,links,longitude,lotSizeSqFt,state,street,taxAssessment,taxAssessmentYear,totalRooms,useCode,yearBuilt,zestimate,zindexValue,zipcode,zpid,cluster
0,343869,Northeast Raleigh,neighborhood,37183.0,3.0,4.0,Raleigh,1773.0,12/1/1989,102500.0,35.807071,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.580896,8276.0,NC,2004 Carthage Cir,159269.0,2018.0,7.0,SingleFamily,1989.0,224901.0,"171,900",27604,6504197,48
1,54047,Raleigh,city,37183.0,4.0,3.0,Raleigh,4617.0,5/16/2003,575000.0,35.919808,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.656643,223027.0,NC,9924 Waterview Rd,618168.0,2018.0,12.0,SingleFamily,1994.0,869696.0,"221,100",27615,6483992,41
2,270318,North Raleigh,neighborhood,37183.0,3.0,4.0,Raleigh,3066.0,5/27/2004,364000.0,35.927906,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.573316,6534.0,NC,2047 Hornbeck Ct,435002.0,2018.0,14.0,SingleFamily,2003.0,469902.0,"270,100",27614,65332699,60
3,343864,West Raleigh,neighborhood,37183.0,3.0,4.0,Raleigh,2979.0,7/31/2007,381500.0,35.782637,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/West-Raleigh/r_343864/', 'forSaleByOwner': 'http://www.zillow.com/west-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/west-raleigh-raleigh-nc/'}",-78.71091899999999,29185.0,NC,4404 Driftwood Dr,343669.0,2018.0,8.0,SingleFamily,1974.0,442602.0,"173,400",27606,6382773,18
4,270318,North Raleigh,neighborhood,37183.0,4.0,4.0,Raleigh,4977.0,7/8/2014,665000.0,35.895334999999996,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.628509,27878.0,NC,421 Chatterson Dr,673517.0,2018.0,8.0,SingleFamily,1997.0,760869.0,"270,100",27615,6551268,19
5,270318,North Raleigh,neighborhood,,,3.0,Raleigh,1700.0,,,35.922899,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.567458,,NC,2224 Valley Edge Dr,,,,SingleFamily,2009.0,190001.0,"270,100",27614,2108925721,60
6,54047,Raleigh,city,37183.0,3.0,4.0,Raleigh,3342.0,5/8/2019,495190.0,35.916364,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.751927,6534.0,NC,8804 Moss Glen Dr,,2018.0,,SingleFamily,,629767.0,"221,100",27617,248755442,23
7,54047,Raleigh,city,37183.0,3.0,3.0,Raleigh,4377.0,3/10/1997,296500.0,35.709951000000004,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.756512,146797.0,NC,2429 Kirks Ridge Dr,1190070.0,2018.0,7.0,SingleFamily,1989.0,1146960.0,"221,100",27606,50100483,25
8,343869,Northeast Raleigh,neighborhood,37183.0,3.0,3.0,Raleigh,1400.0,8/9/1985,75500.0,35.881370000000004,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.568844,6534.0,NC,7209 S Thorncliff Pl,119884.0,2018.0,6.0,SingleFamily,1985.0,169994.0,"171,900",27616,6479215,61
9,54047,Raleigh,city,37183.0,3.0,4.0,Raleigh,3025.0,7/26/2016,329258.0,35.659963,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.69879399999999,6098.0,NC,2031 Ernesto Ln,297739.0,2018.0,,SingleFamily,2016.0,348225.0,"221,100",27603,133699414,6
10,270318,North Raleigh,neighborhood,37183.0,,4.0,Raleigh,2526.0,11/9/2007,275000.0,35.890321,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/North-Raleigh/r_270318/', 'forSaleByOwner': 'http://www.zillow.com/north-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/north-raleigh-raleigh-nc/'}",-78.596393,11761.0,NC,7844 Harps Mill Woods Run,266997.0,2018.0,9.0,SingleFamily,1999.0,325849.0,"270,100",27615,6551984,19
11,343869,Northeast Raleigh,neighborhood,37183.0,3.0,3.0,Raleigh,1232.0,8/12/2019,117500.0,35.847735,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.556164,6970.0,NC,5619 Marthonna Way,129945.0,2018.0,6.0,SingleFamily,1999.0,185649.0,"171,900",27616,50103189,4
12,343867,East Raleigh,neighborhood,37183.0,1.0,2.0,Raleigh,1088.0,4/9/2013,145000.0,35.800107000000004,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/East-Raleigh/r_343867/', 'forSaleByOwner': 'http://www.zillow.com/east-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/east-raleigh-raleigh-nc/'}",-78.621153,8276.0,NC,202 Myers Ave,175712.0,2018.0,5.0,SingleFamily,1948.0,275001.0,"146,700",27604,6397365,55
13,343869,Northeast Raleigh,neighborhood,37183.0,3.0,5.0,Raleigh,2648.0,2/1/2012,227500.0,35.894202,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/Northeast-Raleigh/r_343869/', 'forSaleByOwner': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/northeast-raleigh-raleigh-nc/'}",-78.517049,11325.0,NC,4201 Kellett Ln,238471.0,2018.0,12.0,SingleFamily,2012.0,300001.0,"171,900",27616,114329944,21
14,54047,Raleigh,city,37183.0,3.0,4.0,Raleigh,2335.0,2/25/2016,248500.0,35.665623,"{'overview': 'http://www.zillow.com/local-info/NC-Raleigh/r_54047/', 'forSaleByOwner': 'http://www.zillow.com/raleigh-nc/fsbo/', 'forSale': 'http://www.zillow.com/raleigh-nc/'}",-78.665859,10890.0,NC,307 Competition Rd,242795.0,2018.0,7.0,SingleFamily,2001.0,290001.0,"221,100",27603,50114231,6
