,average range,average std
0,864175.0,180540.05560659722
1,826973.0,175668.09148668876
2,747327.0,160836.53468310315
3,788977.0,151685.08244954367
4,594165.0,122321.52824211303
5,630096.0,135400.01731429764
6,519104.0,95883.76831528443
7,719641.0,145805.1321897446
8,1026117.0,232318.77542957902
9,791529.0,172798.39354157756
10,656274.0,143097.32042440123
11,798661.0,179005.287177226
12,791529.0,156934.12117888549
13,1073385.0,230812.30511844033
14,540535.0,109750.19395924777
15,487496.0,122448.30517312278
16,671474.0,176925.79496300357
17,1259025.0,271122.5090829554
18,271312.0,50943.14658467379
19,644065.0,165085.1877859455
20,383133.0,84133.85847131534
21,405612.0,80331.54673721018
22,540535.0,110558.23838185467
23,696973.0,161998.34768158293
24,424671.0,94958.48688729528
25,487496.0,122448.30517312278
26,271312.0,54023.204066999264
27,1188913.0,247035.52998104904
28,419409.0,89060.25982850822
29,271312.0,54572.98232091016
30,1034520.0,243083.61669057788
31,1128523.0,294699.70914797694
32,812204.0,214948.70865877505
33,94277.0,25158.526817533882
34,758786.0,175169.6596590585
35,346297.0,90475.36961258866
36,346297.0,91194.93695662622
37,120292.0,32789.509312845905
38,484537.0,119589.14089782732
39,603475.0,149325.8817603352
40,288166.0,67761.31060536286
41,491425.0,130328.50587281711
42,865930.0,184590.10538074863
43,681905.0,197083.1103655939
44,506076.0,135936.93456301183
45,630834.0,201978.21791835854
46,623507.0,187079.04719335423
47,530768.0,136019.67213524607
48,1587577.0,394722.55091253517
49,142927.0,53155.74996296266
50,386539.0,84023.71984467085
51,384959.0,118973.28504737398
52,430400.0,121413.93895716988
53,506371.0,125419.79879971709
54,413538.0,108701.1923083431
55,726259.0,193967.29212160912
56,258589.0,70691.77424132159
57,56038.0,20473.261827098
58,258589.0,70691.77424132159
59,858077.0,221375.0699660759
60,179066.0,52661.64282141221
61,509313.0,146567.41152295092
62,1051104.0,300375.2658963713
63,792620.0,236027.7925662003
64,59716.0,16218.419479658967
65,358444.0,87950.6693622238
66,399473.0,109585.09097340053
67,153010.0,36020.151468836746
68,260276.0,76935.69565907272
69,214099.0,55863.54588109779
70,827287.0,255231.9856391898
71,771806.0,260996.42948250857
72,293863.0,85953.91978025467
73,384959.0,122059.87077737582
74,736005.0,171067.84038492432
75,486416.0,132236.54754149742
76,1027526.0,278609.386771495
77,424671.0,114330.5662775737
78,792620.0,245234.44086589786
79,194728.0,66454.15161651997
80,725832.0,262644.87122519175
81,483459.0,126656.70935863932
82,222647.0,64186.34103406688
83,717966.0,183545.4996116603
84,550282.0,162422.72020312597
85,141922.0,37728.12958507616
86,1291506.0,345385.10419221944
87,126829.0,37132.437471453886
88,448047.0,140760.30572666836
89,271143.0,71022.3812486129
90,436252.0,147156.12746084612
91,449462.0,117249.60338072294
92,55417.0,28063.732865271766
93,99998.0,29682.317676371385
94,664700.0,193481.32156264613
95,430400.0,121413.93895716978
96,1188913.0,284221.38536388543
97,140275.0,43567.65503750081
98,431596.0,130128.48375884022
99,690311.0,195690.35111916688
